env,ratio,gain,gdc,gdc2,log10_ber,ber,drive_rms,symbols
IL20x10_TxHeavy,0.8,0.35048,0.0,3.0,-2.684375731094285,0.002068351134688271,0.1335974313318041,65536
IL20x10_TxHeavy,0.8,0.35048,3.0,-3.0,-2.857481217819545,0.001388413354132611,0.15967728405017964,65536
IL20x10_TxHeavy,0.8,0.35048,3.0,0.0,-2.730084873619654,0.0018617232668924476,0.16809121500993554,65536
IL20x10_TxHeavy,0.8,0.35048,3.0,3.0,-2.4400971452834996,0.0036299684863580956,0.18372196968695328,65536
IL20x10_TxHeavy,1.0,0.4381,-3.0,-3.0,-2.882287722443166,0.0013113308473964858,0.11008266590434665,65536
IL20x10_TxHeavy,1.0,0.4381,-3.0,0.0,-2.8697451421561873,0.0013497547293230235,0.11500005250761457,65536
IL20x10_TxHeavy,1.0,0.4381,-3.0,3.0,-2.851680860013294,0.001407081133626982,0.12422494450600186,65536
IL20x10_TxHeavy,1.0,0.4381,0.0,-3.0,-2.879477913541875,0.0013198424318400844,0.146195331698727,65536
IL20x10_TxHeavy,1.0,0.4381,0.0,0.0,-2.8334224363265554,0.001467498154211396,0.1534571371308058,65536
IL20x10_TxHeavy,1.0,0.4381,0.0,3.0,-2.5831733938141093,0.002611118646666028,0.16699678916475508,65536
IL20x10_TxHeavy,1.0,0.4381,3.0,-3.0,-2.625177408990416,0.002370405199001304,0.19959660506272453,65536
IL20x10_TxHeavy,1.0,0.4381,3.0,0.0,-2.3509621763988555,0.004456950632085052,0.21011401876241942,65536
IL20x10_TxHeavy,1.0,0.4381,3.0,3.0,-1.9989325769714974,0.010024608552994115,0.22965246210869159,65536
IL20x10_TxHeavy,1.3,0.56953,-3.0,-3.0,-2.89038186783554,0.0012871173133754683,0.14310746567565064,65536
IL20x10_TxHeavy,1.3,0.56953,-3.0,0.0,-2.8784937149962873,0.0013228368516433708,0.14950006825989895,65536
IL20x10_TxHeavy,1.3,0.56953,-3.0,3.0,-2.7905315986363153,0.0016198261334170023,0.1614924278578024,65536
IL20x10_TxHeavy,1.3,0.56953,0.0,-3.0,-2.810945670559914,0.001545447760115531,0.1900539312083451,65536
IL20x10_TxHeavy,1.3,0.56953,0.0,0.0,-2.5709952547214985,0.0026853737869866026,0.19949427827004754,65536
IL20x10_TxHeavy,1.3,0.56953,0.0,3.0,-2.1805996962451064,0.006597817579793357,0.21709582591418164,65536
IL20x10_TxHeavy,1.3,0.56953,3.0,-3.0,-2.0485702697310533,0.008941898384912937,0.2594755865815419,65536
IL20x10_TxHeavy,1.3,0.56953,3.0,0.0,-1.834690921511491,0.01463218146381955,0.2731482243911452,65536
IL20x10_TxHeavy,1.3,0.56953,3.0,3.0,-1.5983966427744072,0.025211771201815326,0.29854820074129906,65536
IL10x20_RxHeavy,0.4,0.17524,-3.0,-3.0,-2.2985639454708053,0.005028472212309634,0.0697478630144399,65536
IL10x20_RxHeavy,0.4,0.17524,-3.0,0.0,-2.2312114354292665,0.005872034040861572,0.07137286557763714,65536
IL10x20_RxHeavy,0.4,0.17524,-3.0,3.0,-2.263783967134532,0.005447735743825359,0.07450964229573377,65536
IL10x20_RxHeavy,0.4,0.17524,0.0,-3.0,-2.639004314070593,0.0022961258393994414,0.08949099454587768,65536
IL10x20_RxHeavy,0.4,0.17524,0.0,0.0,-2.595091496601648,0.002540437433082215,0.091950193496413,65536
IL10x20_RxHeavy,0.4,0.17524,0.0,3.0,-2.522216886523351,0.0030045754438934274,0.0966705942852509,65536
IL10x20_RxHeavy,0.4,0.17524,3.0,-3.0,-2.8536467931794203,0.0014007260542064923,0.11950530288696255,65536
IL10x20_RxHeavy,0.4,0.17524,3.0,0.0,-2.8277867491316737,0.0014866654578608537,0.12312779606365963,65536
IL10x20_RxHeavy,0.4,0.17524,3.0,3.0,-2.821344347333713,0.001508883302712186,0.1300550300565586,65536
IL10x20_RxHeavy,0.6,0.26286,-3.0,-3.0,-2.872437974371472,0.0013414115011604203,0.10462179452165983,65536
IL10x20_RxHeavy,0.6,0.26286,-3.0,0.0,-2.864792258154644,0.0013652360318988667,0.10705929836645571,65536
IL10x20_RxHeavy,0.6,0.26286,-3.0,3.0,-2.8647543995934814,0.0013653550482042285,0.11176446344360064,65536
IL10x20_RxHeavy,0.6,0.26286,0.0,-3.0,-2.886309226243626,0.0012992441611264162,0.13423649181881653,65536
IL10x20_RxHeavy,0.6,0.26286,0.0,0.0,-2.881382226503781,0.0013140678001468385,0.13792529024461947,65536
IL10x20_RxHeavy,0.6,0.26286,0.0,3.0,-2.811421073981375,0.0015437569507641678,0.14500589142787632,65536
IL10x20_RxHeavy,0.6,0.26286,3.0,-3.0,-2.8604131094595835,0.0013790718402206343,0.1792579543304438,65536
IL10x20_RxHeavy,0.6,0.26286,3.0,0.0,-2.822964696885531,0.0015032641590995383,0.18469169409548944,65536
IL10x20_RxHeavy,0.6,0.26286,3.0,3.0,-2.5730209651446874,0.0026728773749872523,0.19508254508483788,65536
